,Unnamed: 0,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR
12,12,2000-08-22,Ipswich,Man United,1,1,D,1,1,D,Jeff Winter,13,15,8,6,4,6,10,7,1,4,0,0
26,26,2000-08-26,Southampton,Liverpool,3,3,D,0,1,A,Jeff Winter,14,9,7,4,7,1,7,6,0,0,0,0
51,51,2000-09-16,Charlton,Tottenham,1,0,H,1,0,H,Jeff Winter,9,10,5,5,7,5,8,10,0,0,0,0
71,71,2000-09-30,Everton,Ipswich,0,3,A,0,1,A,Jeff Winter,7,9,3,7,4,1,6,5,1,0,0,0
86,86,2000-10-14,Sunderland,Chelsea,1,0,H,0,0,D,Jeff Winter,16,11,11,2,5,0,12,18,0,1,1,1
93,93,2000-10-21,Man United,Leeds,3,0,H,1,0,H,Jeff Winter,26,5,14,0,12,4,9,18,0,2,0,0
115,115,2000-04-11,Southampton,Chelsea,3,2,H,2,0,H,Jeff Winter,10,9,4,4,7,7,16,11,4,2,0,0
126,126,2000-11-11,West Ham,Man City,4,1,H,0,1,A,Jeff Winter,22,10,11,5,7,5,7,7,1,1,0,0
140,140,2000-11-25,Coventry,Aston Villa,1,1,D,0,1,A,Jeff Winter,10,7,2,4,6,1,9,19,1,2,0,0
178,178,2000-12-18,Tottenham,Arsenal,1,1,D,1,0,H,Jeff Winter,8,17,4,10,3,7,20,14,2,1,0,0
193,193,2000-12-26,Ipswich,Chelsea,2,2,D,1,2,A,Jeff Winter,19,7,13,4,8,2,5,9,0,4,0,0
