,Unnamed: 0,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR
10,10,2000-08-21,Arsenal,Liverpool,2,0,H,1,0,H,Graham Poll,17,7,12,4,10,11,25,20,2,4,1,2
22,22,2000-08-26,Ipswich,Sunderland,1,0,H,0,0,D,Graham Poll,14,9,5,3,7,6,10,12,1,1,0,0
29,29,2000-05-09,Leeds,Man City,1,2,A,0,2,A,Graham Poll,6,8,1,3,9,4,18,24,2,2,0,0
46,46,2000-09-09,Newcastle,Chelsea,0,0,D,0,0,D,Graham Poll,10,10,4,3,5,6,17,21,0,3,0,0
74,74,2000-09-30,Southampton,Middlesbrough,1,3,A,0,2,A,Graham Poll,16,7,8,5,6,6,6,22,2,2,0,0
103,103,2000-10-28,Leicester,Derby,2,1,H,1,1,D,Graham Poll,9,7,5,2,7,3,9,18,0,3,0,0
110,110,2000-04-11,Coventry,Man United,1,2,A,0,2,A,Graham Poll,4,11,2,6,3,9,17,8,1,1,0,0
127,127,2000-12-11,Chelsea,Leeds,1,1,D,0,0,D,Graham Poll,12,11,7,3,3,2,19,24,4,4,0,0
135,135,2000-11-18,Newcastle,Sunderland,1,2,A,1,0,H,Graham Poll,19,9,9,6,1,4,17,26,1,3,0,0
155,155,2000-02-12,Man United,Tottenham,2,0,H,1,0,H,Graham Poll,16,5,8,3,7,5,7,8,2,1,0,0
165,165,2000-09-12,Sunderland,Middlesbrough,1,0,H,0,0,D,Graham Poll,8,8,5,5,5,3,22,21,1,3,0,0
184,184,2000-12-23,Leicester,West Ham,2,1,H,1,1,D,Graham Poll,11,11,6,4,6,5,7,5,1,0,0,0
190,190,2000-12-26,Aston Villa,Man United,0,1,A,0,0,D,Graham Poll,6,14,3,3,2,4,15,16,1,2,0,0
